,date_interval,Inbound,Outbound,Shift
511,2019-05-26,35.0,40.0,9.0
512,2019-05-27,32.0,34.0,11.0
513,2019-05-28,42.0,43.0,15.0
514,2019-05-29,33.0,37.0,15.0
515,2019-05-30,39.0,23.0,6.0
516,2019-05-31,35.0,41.0,9.0
517,2019-06-01,34.0,41.0,9.0
518,2019-06-02,29.0,34.0,5.0
519,2019-06-03,37.0,36.0,16.0
520,2019-06-04,34.0,42.0,7.0
521,2019-06-05,30.0,33.0,6.0
522,2019-06-06,34.0,33.0,9.0
523,2019-06-07,26.0,35.0,12.0
524,2019-06-08,35.0,36.0,14.0
525,2019-06-09,33.0,48.0,5.0
526,2019-06-10,33.0,37.0,12.0
527,2019-06-11,33.0,27.0,14.0
528,2019-06-12,37.0,38.0,8.0
529,2019-06-13,32.0,47.0,7.0
530,2019-06-14,31.0,31.0,7.0
531,2019-06-15,29.0,36.0,5.0
532,2019-06-16,32.0,39.0,15.0
533,2019-06-17,36.0,27.0,7.0
534,2019-06-18,41.0,30.0,18.0
535,2019-06-19,37.0,52.0,15.0
536,2019-06-20,26.0,45.0,13.0
537,2019-06-21,33.0,34.0,9.0
538,2019-06-22,36.0,33.0,7.0
539,2019-06-23,33.0,26.0,12.0
540,2019-06-24,30.0,33.0,12.0
541,2019-06-25,27.0,33.0,6.0
542,2019-06-26,28.0,27.0,14.0
543,2019-06-27,37.0,35.0,17.0
544,2019-06-28,30.0,27.0,8.0
545,2019-06-29,37.0,35.0,10.0
546,2019-06-30,27.0,33.0,12.0
547,2019-07-01,26.0,36.0,13.0
548,2019-07-02,32.0,44.0,8.0
549,2019-07-03,43.0,33.0,7.0
550,2019-07-04,28.0,34.0,8.0
551,2019-07-05,26.0,23.0,3.0
552,2019-07-06,31.0,31.0,7.0
553,2019-07-07,18.0,29.0,6.0
554,2019-07-08,21.0,27.0,6.0
555,2019-07-09,36.0,38.0,14.0
556,2019-07-10,32.0,40.0,0.0
557,2019-07-11,22.0,28.0,7.0
558,2019-07-12,25.0,29.0,12.0
559,2019-07-13,30.0,30.0,8.0
560,2019-07-14,28.0,31.0,5.0
561,2019-07-15,40.0,32.0,8.0
562,2019-07-16,25.0,29.0,9.0
563,2019-07-17,33.0,36.0,8.0
564,2019-07-18,29.0,41.0,10.0
565,2019-07-19,21.0,32.0,6.0
566,2019-07-20,27.0,31.0,8.0
567,2019-07-21,32.0,34.0,1.0
568,2019-07-22,21.0,29.0,10.0
569,2019-07-23,33.0,47.0,16.0
570,2019-07-24,44.0,46.0,4.0
571,2019-07-25,37.0,31.0,15.0
572,2019-07-26,35.0,25.0,6.0
573,2019-07-27,30.0,33.0,9.0
574,2019-07-28,23.0,36.0,9.0
575,2019-07-29,21.0,36.0,8.0
576,2019-07-30,37.0,29.0,5.0
577,2019-07-31,39.0,44.0,14.0
578,2019-08-01,28.0,28.0,13.0
579,2019-08-02,31.0,24.0,10.0
580,2019-08-03,27.0,35.0,4.0
581,2019-08-04,26.0,35.0,4.0
582,2019-08-05,25.0,51.0,4.0
583,2019-08-06,32.0,33.0,5.0
584,2019-08-07,34.0,29.0,6.0
585,2019-08-08,32.0,29.0,12.0
586,2019-08-09,27.0,30.0,13.0
587,2019-08-10,26.0,39.0,10.0
588,2019-08-11,31.0,24.0,9.0
589,2019-08-12,29.0,44.0,8.0
590,2019-08-13,34.0,30.0,9.0
591,2019-08-14,20.0,32.0,7.0
592,2019-08-15,33.0,31.0,10.0
593,2019-08-16,19.0,39.0,12.0
594,2019-08-17,40.0,33.0,15.0
595,2019-08-18,25.0,31.0,6.0
596,2019-08-19,27.0,38.0,9.0
597,2019-08-20,27.0,22.0,6.0
598,2019-08-21,22.0,38.0,10.0
599,2019-08-22,29.0,33.0,12.0
600,2019-08-23,36.0,29.0,10.0
601,2019-08-24,33.0,28.0,7.0
602,2019-08-25,19.0,35.0,10.0
603,2019-08-26,34.0,37.0,14.0
604,2019-08-27,29.0,39.0,17.0
605,2019-08-28,29.0,37.0,15.0
606,2019-08-29,24.0,28.0,10.0
607,2019-08-30,36.0,41.0,11.0
608,2019-08-31,30.0,36.0,18.0
609,2019-09-01,36.0,28.0,9.0
610,2019-09-02,17.0,27.0,13.0
611,2019-09-03,29.0,33.0,9.0
612,2019-09-04,34.0,35.0,11.0
613,2019-09-05,30.0,33.0,11.0
614,2019-09-06,32.0,33.0,26.0
615,2019-09-07,26.0,35.0,12.0
616,2019-09-08,29.0,38.0,5.0
617,2019-09-09,34.0,36.0,10.0
618,2019-09-10,35.0,35.0,15.0
619,2019-09-11,35.0,30.0,10.0
620,2019-09-12,17.0,30.0,6.0
621,2019-09-13,34.0,39.0,18.0
622,2019-09-14,34.0,46.0,12.0
623,2019-09-15,32.0,30.0,5.0
624,2019-09-16,28.0,33.0,7.0
625,2019-09-17,37.0,39.0,7.0
626,2019-09-18,27.0,26.0,4.0
627,2019-09-19,23.0,29.0,2.0
628,2019-09-20,26.0,23.0,4.0
629,2019-09-21,35.0,35.0,13.0
630,2019-09-22,28.0,36.0,10.0
631,2019-09-23,35.0,27.0,12.0
632,2019-09-24,29.0,42.0,7.0
633,2019-09-25,39.0,37.0,11.0
634,2019-09-26,39.0,38.0,14.0
635,2019-09-27,31.0,34.0,5.0
636,2019-09-28,36.0,32.0,6.0
637,2019-09-29,32.0,27.0,6.0
638,2019-09-30,25.0,36.0,11.0
639,2019-10-01,43.0,31.0,14.0
640,2019-10-02,28.0,38.0,21.0
641,2019-10-03,32.0,31.0,21.0
642,2019-10-04,28.0,38.0,7.0
643,2019-10-05,40.0,35.0,10.0
644,2019-10-06,32.0,33.0,6.0
645,2019-10-07,22.0,33.0,6.0
646,2019-10-08,27.0,37.0,22.0
647,2019-10-09,26.0,44.0,10.0
